ticker,price,price_date,updated_at_utc,updated_at_madrid,market_status,confirmed_close,confirmed_close_date,change_from_close,change_from_close_percent
AA,46.970001,2026-09-17,2026-09-18 06:03:54 UTC,2026-09-18 08:03:54,pre_market,46.970001,2026-09-17,0.0,0.0
AAOI,98.059998,2026-09-17,2026-09-18 06:03:54 UTC,2026-09-18 08:03:54,pre_market,98.059998,2026-09-17,0.0,0.0
AAPL,337.0,2026-09-17,2026-09-18 06:03:54 UTC,2026-09-18 08:03:54,pre_market,337.0,2026-09-17,0.0,0.0
ABBNY,96.32,2026-09-17,2026-09-18 06:03:54 UTC,2026-09-18 08:03:54,pre_market,96.32,2026-09-17,0.0,0.0
ABBV,264.019989,2026-09-17,2026-09-18 06:03:54 UTC,2026-09-18 08:03:54,pre_market,264.019989,2026-09-17,0.0,0.0
ABT,102.230003,2026-09-17,2026-09-18 06:03:54 UTC,2026-09-18 08:03:54,pre_market,102.230003,2026-09-17,0.0,0.0
ACN,190.289993,2026-09-17,2026-09-18 06:03:54 UTC,2026-09-18 08:03:54,pre_market,190.289993,2026-09-17,0.0,0.0
ADBE,252.669998,2026-09-17,2026-09-18 06:03:54 UTC,2026-09-18 08:03:54,pre_market,252.669998,2026-09-17,0.0,0.0
ADI,362.649994,2026-09-17,2026-09-18 06:03:54 UTC,2026-09-18 08:03:54,pre_market,362.649994,2026-09-17,0.0,0.0
ADP,272.23999,2026-09-17,2026-09-18 06:03:54 UTC,2026-09-18 08:03:54,pre_market,272.23999,2026-09-17,0.0,0.0
AEM,201.369995,2026-09-17,2026-09-18 06:03:54 UTC,2026-09-18 08:03:54,pre_market,201.369995,2026-09-17,0.0,0.0
AEP,121.620003,2026-09-17,2026-09-18 06:03:54 UTC,2026-09-18 08:03:54,pre_market,121.620003,2026-09-17,0.0,0.0
AG,19.49,2026-09-17,2026-09-18 06:03:54 UTC,2026-09-18 08:03:54,pre_market,19.49,2026-09-17,0.0,0.0
AGI,35.759998,2026-09-17,2026-09-18 06:03:54 UTC,2026-09-18 08:03:54,pre_market,35.759998,2026-09-17,0.0,0.0
ALB,115.050003,2026-09-17,2026-09-18 06:03:54 UTC,2026-09-18 08:03:54,pre_market,115.050003,2026-09-17,0.0,0.0
ALFVY,56.43,2026-09-17,2026-09-18 06:03:54 UTC,2026-09-18 08:03:54,pre_market,56.43,2026-09-17,0.0,0.0
ALKS,46.709999,2026-09-17,2026-09-18 06:03:54 UTC,2026-09-18 08:03:54,pre_market,46.709999,2026-09-17,0.0,0.0
ALNY,245.509995,2026-09-17,2026-09-18 06:03:54 UTC,2026-09-18 08:03:54,pre_market,245.509995,2026-09-17,0.0,0.0
AMAT,417.399994,2026-09-17,2026-09-18 06:03:54 UTC,2026-09-18 08:03:54,pre_market,417.399994,2026-09-17,0.0,0.0
AMD,545.090027,2026-09-17,2026-09-18 06:03:54 UTC,2026-09-18 08:03:54,pre_market,545.090027,2026-09-17,0.0,0.0
AMGN,379.779999,2026-09-17,2026-09-18 06:03:54 UTC,2026-09-18 08:03:54,pre_market,379.779999,2026-09-17,0.0,0.0
AMKR,47.950001,2026-09-17,2026-09-18 06:03:54 UTC,2026-09-18 08:03:54,pre_market,47.950001,2026-09-17,0.0,0.0
AMT,175.580002,2026-09-17,2026-09-18 06:03:54 UTC,2026-09-18 08:03:54,pre_market,175.580002,2026-09-17,0.0,0.0
AMZN,251.190002,2026-09-17,2026-09-18 06:03:54 UTC,2026-09-18 08:03:54,pre_market,251.190002,2026-09-17,0.0,0.0
AON,296.049988,2026-09-17,2026-09-18 06:03:54 UTC,2026-09-18 08:03:54,pre_market,296.049988,2026-09-17,0.0,0.0
APD,286.119995,2026-09-17,2026-09-18 06:03:54 UTC,2026-09-18 08:03:54,pre_market,286.119995,2026-09-17,0.0,0.0
ARGX,995.77002,2026-09-17,2026-09-18 06:03:54 UTC,2026-09-18 08:03:54,pre_market,995.77002,2026-09-17,0.0,0.0
ARM,264.899994,2026-09-17,2026-09-18 06:03:54 UTC,2026-09-18 08:03:54,pre_market,264.899994,2026-09-17,0.0,0.0
ARWR,67.739998,2026-09-17,2026-09-18 06:03:54 UTC,2026-09-18 08:03:54,pre_market,67.739998,2026-09-17,0.0,0.0
ASMIY,908.5,2026-09-17,2026-09-18 06:03:54 UTC,2026-09-18 08:03:54,pre_market,908.5,2026-09-17,0.0,0.0
ASML,1629.670044,2026-09-17,2026-09-18 06:03:54 UTC,2026-09-18 08:03:54,pre_market,1629.670044,2026-09-17,0.0,0.0
AU,102.360001,2026-09-17,2026-09-18 06:03:54 UTC,2026-09-18 08:03:54,pre_market,102.360001,2026-09-17,0.0,0.0
AVB,68.139999,2026-08-24,2026-09-18 06:03:54 UTC,2026-09-18 08:03:54,pre_market,68.139999,2026-08-24,0.0,0.0
